,plate,well,actual_name,ERCC_reads,Non_ERCC_reads,ERCC_to_non_ERCC,Genes_detected,Age,Age_color,experiment.ID,plate_color,scrublet_score,scrublet_doublet
G6_1000500601,1000500601,G6,G6-1000500601-zsGreen,62071,792148,0.078357832,2038,PN21,#98DF8A,6,#1F77B4,0.013986014,FALSE
G12_1000500704,1000500704,G12,G12-1000500704-zsGreen,39167,625223,0.062644848,2489,PN120,#2CA02C,7,#D62728,0.030927835,FALSE
D8_1000500702,1000500702,D8,D8-1000500702-zsGreen,93495,576824,0.162085836,1376,PN120,#2CA02C,7,#2CA02C,0.016615385,FALSE
B12_1000500602,1000500602,B12,B12-1000500602-zsGreen,105501,760587,0.13870997,1785,PN21,#98DF8A,6,#AEC7E8,0.011621472,FALSE
C12_1000500602,1000500602,C12,C12-1000500602-zsGreen,83666,688370,0.121542194,1592,PN21,#98DF8A,6,#AEC7E8,0.013986014,FALSE
G1_1000500602,1000500602,G1,G1-1000500602-zsGreen,98183,869534,0.112914504,1428,PN21,#98DF8A,6,#AEC7E8,0.026627219,FALSE
A1_1000500704,1000500704,A1,A1-1000500704-zsGreen,68429,704836,0.097084996,1817,PN120,#2CA02C,7,#D62728,0.030927835,FALSE
B10_1000500702,1000500702,B10,B10-1000500702-zsGreen,58747,496422,0.118340847,1780,PN120,#2CA02C,7,#2CA02C,0.011621472,FALSE
H1_1000500704,1000500704,H1,H1-1000500704-zsGreen,66410,683635,0.097142481,1629,PN120,#2CA02C,7,#D62728,0.011621472,FALSE
E5_1000500601,1000500601,E5,E5-1000500601-zsGreen,43516,699460,0.062213708,2031,PN21,#98DF8A,6,#1F77B4,0.022869023,FALSE
F8_1000500702,1000500702,F8,F8-1000500702-zsGreen,178851,45,3974.466667,2,PN120,#2CA02C,7,#2CA02C,0.009483667,FALSE
G6_1000500602,1000500602,G6,G6-1000500602-zsGreen,36399,783698,0.046445187,3276,PN21,#98DF8A,6,#AEC7E8,0.030927835,FALSE
C12_1000500705,1000500705,C12,C12-1000500705-zsGreen,78400,600584,0.130539608,1796,PN120,#2CA02C,7,#FF9896,0.035897436,FALSE
C5_1000500602,1000500602,C5,C5-1000500602-zsGreen,48947,483545,0.101225325,1733,PN21,#98DF8A,6,#AEC7E8,0.019556714,FALSE
F10_1000500704,1000500704,F10,F10-1000500704-zsGreen,82386,893719,0.092183337,2116,PN120,#2CA02C,7,#D62728,0.026627219,FALSE
E12_1000500705,1000500705,E12,E12-1000500705-zsGreen,46753,653428,0.071550347,2285,PN120,#2CA02C,7,#FF9896,0.056856187,FALSE
E10_1000500702,1000500702,E10,E10-1000500702-zsGreen,69048,779272,0.088605776,2334,PN120,#2CA02C,7,#2CA02C,0.026627219,FALSE
F7_1000500602,1000500602,F7,F7-1000500602-zsGreen,97599,740247,0.131846532,1445,PN21,#98DF8A,6,#AEC7E8,0.013986014,FALSE
F2_1000500702,1000500702,F2,F2-1000500702-zsGreen,26799,287251,0.093294714,1861,PN120,#2CA02C,7,#2CA02C,0.011621472,FALSE
C10_1000500704,1000500704,C10,C10-1000500704-zsGreen,75588,904748,0.083545916,1890,PN120,#2CA02C,7,#D62728,0.019556714,FALSE
D9_1000500704,1000500704,D9,D9-1000500704-zsGreen,1,21,0.047619048,1,PN120,#2CA02C,7,#D62728,0.009483667,FALSE
A6_1000500702,1000500702,A6,A6-1000500702-zsGreen,55397,515648,0.107431814,2106,PN120,#2CA02C,7,#2CA02C,0.011621472,FALSE
G10_1000500704,1000500704,G10,G10-1000500704-zsGreen,67047,599720,0.111797172,1832,PN120,#2CA02C,7,#D62728,0.019556714,FALSE
E5_1000500705,1000500705,E5,E5-1000500705-zsGreen,0,12,0,1,PN120,#2CA02C,7,#FF9896,0.007541478,FALSE
B1_1000500702,1000500702,B1,B1-1000500702-zsGreen,37028,245288,0.150957242,1343,PN120,#2CA02C,7,#2CA02C,0.011621472,FALSE
C6_1000500701,1000500701,C6,C6-1000500701-zsGreen,29064,578045,0.050279823,2356,PN120,#2CA02C,7,#FFBB78,0.030927835,FALSE
G8_1000500602,1000500602,G8,G8-1000500602-zsGreen,70359,832118,0.084554114,1979,PN21,#98DF8A,6,#AEC7E8,0.016615385,FALSE
B3_1000500602,1000500602,B3,B3-1000500602-zsGreen,67223,904144,0.074349882,1853,PN21,#98DF8A,6,#AEC7E8,0.013986014,FALSE
A7_1000500601,1000500601,A7,A7-1000500601-zsGreen,91357,725663,0.125894527,1273,PN21,#98DF8A,6,#1F77B4,0.026627219,FALSE
G2_1000500704,1000500704,G2,G2-1000500704-zsGreen,1,10,0.1,1,PN120,#2CA02C,7,#D62728,0.007541478,FALSE
G3_1000500704,1000500704,G3,G3-1000500704-zsGreen,47730,655086,0.072860663,2195,PN120,#2CA02C,7,#D62728,0.019556714,FALSE
G8_1000500704,1000500704,G8,G8-1000500704-zsGreen,54940,828498,0.066312773,2262,PN120,#2CA02C,7,#D62728,0.030927835,FALSE
E4_1000500602,1000500602,E4,E4-1000500602-zsGreen,96236,768167,0.12528005,1750,PN21,#98DF8A,6,#AEC7E8,0.007541478,FALSE
G6_1000500705,1000500705,G6,G6-1000500705-zsGreen,117192,236227,0.496099091,331,PN120,#2CA02C,7,#FF9896,0.011621472,FALSE
D10_1000500705,1000500705,D10,D10-1000500705-zsGreen,112818,544726,0.207109629,947,PN120,#2CA02C,7,#FF9896,0.019556714,FALSE
A4_1000500602,1000500602,A4,A4-1000500602-zsGreen,71866,680484,0.105610125,1795,PN21,#98DF8A,6,#AEC7E8,0.009483667,FALSE
F3_1000500704,1000500704,F3,F3-1000500704-zsGreen,172534,73,2363.479452,4,PN120,#2CA02C,7,#D62728,0.009483667,FALSE
D9_1000500602,1000500602,D9,D9-1000500602-zsGreen,60352,721215,0.083681011,2475,PN21,#98DF8A,6,#AEC7E8,0.041705283,FALSE
E12_1000500702,1000500702,E12,E12-1000500702-zsGreen,92316,770889,0.119752649,1633,PN120,#2CA02C,7,#2CA02C,0.016615385,FALSE
H8_1000500601,1000500601,H8,H8-1000500601-zsGreen,86958,786524,0.110559881,1415,PN21,#98DF8A,6,#1F77B4,0.016615385,FALSE
G1_1000500704,1000500704,G1,G1-1000500704-zsGreen,94,891,0.105499439,106,PN120,#2CA02C,7,#D62728,0.011621472,FALSE
E10_1000500601,1000500601,E10,E10-1000500601-zsGreen,108653,780739,0.139166866,1222,PN21,#98DF8A,6,#1F77B4,0.013986014,FALSE
F5_1000500705,1000500705,F5,F5-1000500705-zsGreen,23372,64553,0.362059083,376,PN120,#2CA02C,7,#FF9896,0.016615385,FALSE
F9_1000500704,1000500704,F9,F9-1000500704-zsGreen,67074,654076,0.102547716,2031,PN120,#2CA02C,7,#D62728,0.030927835,FALSE
C3_1000500601,1000500601,C3,C3-1000500601-zsGreen,8453,274056,0.030844061,2412,PN21,#98DF8A,6,#1F77B4,0.030927835,FALSE
A6_1000500704,1000500704,A6,A6-1000500704-zsGreen,76695,740527,0.103568135,1969,PN120,#2CA02C,7,#D62728,0.022869023,FALSE
F2_1000500701,1000500701,F2,F2-1000500701-zsGreen,27770,563910,0.049245447,2447,PN120,#2CA02C,7,#FFBB78,0.041705283,FALSE
F4_1000500702,1000500702,F4,F4-1000500702-zsGreen,188229,94968,1.982025524,141,PN120,#2CA02C,7,#2CA02C,0.013986014,FALSE
E6_1000500601,1000500601,E6,E6-1000500601-zsGreen,33163,857947,0.038653903,3045,PN21,#98DF8A,6,#1F77B4,0.019556714,FALSE
C9_1000500602,1000500602,C9,C9-1000500602-zsGreen,28918,540933,0.053459486,3222,PN21,#98DF8A,6,#AEC7E8,0.07972028,FALSE
C2_1000500601,1000500601,C2,C2-1000500601-zsGreen,71456,979443,0.072955751,1554,PN21,#98DF8A,6,#1F77B4,0.019556714,FALSE
G9_1000500705,1000500705,G9,G9-1000500705-zsGreen,64656,587726,0.110010447,1843,PN120,#2CA02C,7,#FF9896,0.056856187,FALSE
F11_1000500602,1000500602,F11,F11-1000500602-zsGreen,55403,377348,0.146822032,1668,PN21,#98DF8A,6,#AEC7E8,0.013986014,FALSE
F4_1000500704,1000500704,F4,F4-1000500704-zsGreen,108026,311986,0.346252716,718,PN120,#2CA02C,7,#D62728,0.013986014,FALSE
F6_1000500601,1000500601,F6,F6-1000500601-zsGreen,105958,750632,0.141158384,1138,PN21,#98DF8A,6,#1F77B4,0.013986014,FALSE
H2_1000500701,1000500701,H2,H2-1000500701-zsGreen,22126,363575,0.06085677,1703,PN120,#2CA02C,7,#FFBB78,0.030927835,FALSE
C5_1000500704,1000500704,C5,C5-1000500704-zsGreen,72859,669525,0.108821926,1725,PN120,#2CA02C,7,#D62728,0.022869023,FALSE
B11_1000500602,1000500602,B11,B11-1000500602-zsGreen,129961,906618,0.143347033,1273,PN21,#98DF8A,6,#AEC7E8,0.022869023,FALSE
H4_1000500705,1000500705,H4,H4-1000500705-zsGreen,63572,682570,0.093136235,1796,PN120,#2CA02C,7,#FF9896,0.022869023,FALSE
B3_1000500601,1000500601,B3,B3-1000500601-zsGreen,46356,794669,0.058333721,2104,PN21,#98DF8A,6,#1F77B4,0.026627219,FALSE
G12_1000500602,1000500602,G12,G12-1000500602-zsGreen,108072,868181,0.124480955,1638,PN21,#98DF8A,6,#AEC7E8,0.041705283,FALSE
E12_1000500601,1000500601,E12,E12-1000500601-zsGreen,79955,620937,0.128765076,1245,PN21,#98DF8A,6,#1F77B4,0.011621472,FALSE
F9_1000500601,1000500601,F9,F9-1000500601-zsGreen,71967,896358,0.080288233,1545,PN21,#98DF8A,6,#1F77B4,0.035897436,FALSE
A8_1000500701,1000500701,A8,A8-1000500701-zsGreen,37741,468633,0.080534235,1643,PN120,#2CA02C,7,#FFBB78,0.009483667,FALSE
C11_1000500602,1000500602,C11,C11-1000500602-zsGreen,68558,723782,0.094721891,2065,PN21,#98DF8A,6,#AEC7E8,0.019556714,FALSE
D2_1000500601,1000500601,D2,D2-1000500601-zsGreen,41795,647460,0.06455225,2075,PN21,#98DF8A,6,#1F77B4,0.035897436,FALSE
C2_1000500704,1000500704,C2,C2-1000500704-zsGreen,44027,747083,0.058931872,2083,PN120,#2CA02C,7,#D62728,0.022869023,FALSE
F1_1000500704,1000500704,F1,F1-1000500704-zsGreen,51918,833761,0.062269643,2220,PN120,#2CA02C,7,#D62728,0.035897436,FALSE
B4_1000500602,1000500602,B4,B4-1000500602-zsGreen,39473,785538,0.050249638,2534,PN21,#98DF8A,6,#AEC7E8,0.022869023,FALSE
E3_1000500602,1000500602,E3,E3-1000500602-zsGreen,69832,651075,0.10725646,1624,PN21,#98DF8A,6,#AEC7E8,0.019556714,FALSE
F10_1000500602,1000500602,F10,F10-1000500602-zsGreen,121512,747861,0.162479391,1244,PN21,#98DF8A,6,#AEC7E8,0.016615385,FALSE
E8_1000500702,1000500702,E8,E8-1000500702-zsGreen,58983,687730,0.085764762,1795,PN120,#2CA02C,7,#2CA02C,0.026627219,FALSE
C2_1000500701,1000500701,C2,C2-1000500701-zsGreen,23186,391712,0.059191447,1427,PN120,#2CA02C,7,#FFBB78,0.013986014,FALSE
B5_1000500705,1000500705,B5,B5-1000500705-zsGreen,48817,373738,0.130618241,1770,PN120,#2CA02C,7,#FF9896,0.048582996,FALSE
F7_1000500601,1000500601,F7,F7-1000500601-zsGreen,74800,794530,0.094143708,1569,PN21,#98DF8A,6,#1F77B4,0.016615385,FALSE
B2_1000500702,1000500702,B2,B2-1000500702-zsGreen,28048,542113,0.051738291,3152,PN120,#2CA02C,7,#2CA02C,0.07972028,FALSE
C4_1000500704,1000500704,C4,C4-1000500704-zsGreen,98935,685252,0.144377543,1142,PN120,#2CA02C,7,#D62728,0.030927835,FALSE
E2_1000500703,1000500703,E2,E2-1000500703-zsGreen,29126,381977,0.076250664,2277,PN120,#2CA02C,7,#98DF8A,0.030927835,FALSE
